id,login,PASSWORD,first_name,last_name,email,activated,lang_key,created_by
1,system,$2a$10$mE.qmcV0mFU5NcKh73TZx.z4ueI/.bDWbj0T1BYyqP481kGGarKLG,System,System,system@localhost,true,en,system
2,anonymousUser,$2a$10$j8S5d7Sr7.8VTOYNviDPOeWX8KcYILUVJBsYV83Y5NtECayypx9lO,Anonymous,User,anonymous@localhost,true,en,system
3,admin,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,Administrator,Administrator,admin@localhost,true,en,system
4,user,$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K,User,User,user@localhost,true,en,system
5,manager,$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K,Manager,Manager,manager@localhost,true,en,system
6,employer,$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K,Employer,Employer,employer@localhost,true,en,system
7,Final,$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K,Porter,Hedley,Nam.ac@orciUt.com,true,en,system
8,Aspen,$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K,Echo,Akeem,ullamcorper.eu.euismod@pedenec.org,true,en,system
9,Jael,$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K,Jael,Dillon,ac.mi@nisisem.org,true,en,system
10,teacher-001,$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K,Walker,Nash,pharetra.ut@elitfermentumrisus.com,true,en,system
11,McKenzie,$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K,Eugenia,Upton,interdum.Nunc@CurabiturmassaVestibulum.com,true,en,system
12,inst1,$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K,Marny,Zeph,purus@consectetueradipiscingelit.ca,true,en,system
13,Idona,$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K,Ivana,Axel,id@fermentumarcu.org,true,en,system
14,Sean,$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K,Sharon,Todd,diam@nullaIn.ca,true,en,system
15,Asher,$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K,Kamal,Emmanuel,sit.amet.consectetuer@Mauriseu.co.uk,true,en,system
16,Ronan,$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K,Jocelyn,Marshall,adipiscing.elit.Curabitur@hymenaeosMauris.edu,true,en,system
17,Cathleen,$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K,Lunea,Ronan,ac.feugiat@amagna.ca,true,en,system
